PORT_ID,PORT_CD,PORT_NAM,COUNTRY_CD,STATE_CD,COMMENTS_TXT,AS_OF_CD,CAPTURE_DAT,RECORD_STATUS_CD
103813,ABU,ABU DHABI,AE,,,CD,5/21/2019,A
103814,FUJ,FUJAIRAH,AE,,,CD,5/21/2019,A
103908,DXB,DUBAI,AE,,,CD,5/21/2019,A
103831,DBX,DUBAI,AE,,,CD,5/21/2019,A
100849,ANU,"ST. JOHN'S, ANTIGUA",AG,,,CD,5/21/2019,A
101047,SXM,ST. MAARTEN,AN,,,CD,5/21/2019,A
101050,WIL,WILLEMSTAD,AN,,,CD,5/21/2019,A
101048,KRA,KRALENDIJK,AN,,,CD,5/21/2019,A
101049,PHI,PHILIPSBURG ST. MAARTEN,AN,,,CD,5/21/2019,A
100743,APH,CRUISE CAPE HORN,AR,,,CD,5/21/2019,A
100852,USH,USHUAIA,AR,,,CD,5/21/2019,A
100850,BUE,BUENOS AIRES,AR,,,CD,5/21/2019,A
100851,PMY,PUERTO MADRYN,AR,,,CD,5/21/2019,A
100848,PPG,PAGO PAGO,AS,,,CD,5/21/2019,A
100884,HVB,HERVEY BAY,AU,QL,,CD,5/21/2019,A
100885,MKY,MACKAY,AU,QL,,CD,5/21/2019,A
100886,MEL,MELBOURNE,AU,VI,,CD,5/21/2019,A
100887,TSV,TOWNSVILLE,AU,QL,,CD,5/21/2019,A
100888,BME,BROOME,AU,WA,,CD,5/21/2019,A
100889,SYD,SYDNEY,AU,NS,,CD,5/21/2019,A
100890,CNS,CAIRNS (YORKEY'S KNOB),AU,QL,,CD,5/21/2019,A
100891,DRW,DARWIN,AU,NT,,CD,5/21/2019,A
100883,JLA,COLES BAY,AU,TS,,CD,5/21/2019,A
100882,BNE,BRISBANE,AU,QL,,CD,5/21/2019,A
100881,NTL,NEWCASTLE,AU,NS,,CD,5/21/2019,A
100880,TIS,THURSDAY ISLAND,AU,,,CD,5/21/2019,A
100879,KNS,KING ISLAND,AU,TS,,CD,5/21/2019,A
100878,HTI,HAMILTON ISLAND,AU,QL,,CD,5/21/2019,A
100877,PAU,PORT ARTHUR,AU,TS,,CD,5/21/2019,A
100876,LDH,LORD HOWE ISLAND,AU,QL,,CD,5/21/2019,A
100875,HBA,HOBART,AU,TS,,CD,5/21/2019,A
100874,HAR,HARDY REEF,AU,QL,,CD,5/21/2019,A
100873,DPO,DEVONPORT,AU,TS,,CD,5/21/2019,A
104388,NSW,PORT KEMBLA,AU,,,CD,5/21/2019,A
104058,ADL,ADELAIDE,AU,,,CD,5/21/2019,A
103868,AIR,AIRLIE BEACH,AU,,,CD,5/21/2019,A
104088,PLN,PORT LINCOLN,AU,,,CD,5/21/2019,A
103833,BWT,BURNIE (TASMANIA),AU,,,CD,5/21/2019,A
103989,GEE,GEELONG,AU,,,CD,5/21/2019,A
104055,HOB,HOBART,AU,TS,,CD,3/28/2017,D
104056,QDN,EDEN,AU,,,CD,5/21/2019,A
104057,KAN,KANGAROO ISLAND,AU,,,CD,5/21/2019,A
100853,ORJ,ORANJESTAD,AW,,,CD,5/21/2019,A
100897,BGI,BRIDGETOWN,BB,,,CD,5/21/2019,A
100898,ZEE,ZEEBRUGGE (BRUSSELS/BRUGGE),BE,,,CD,5/21/2019,A
100910,VAR,VARNA,BG,,,CD,5/21/2019,A
103208,STB,GUSTAVIA,BL,,,CD,5/21/2019,A
100900,WRF,ROYAL NAVAL DOCKYARD,BM,,,CD,5/21/2019,A
100902,SGE,ST. GEORGES,BM,,,CD,5/21/2019,A
102637,WRB,KING'S WHARF (AT ANCHOR),BM,,,CD,5/21/2019,A
100901,BDA,HAMILTON,BM,,,CD,5/21/2019,A
103826,MUA,MUARA,BN,,,CD,5/21/2019,A
102356,MAO,MANAOS,BR,,,CD,5/21/2019,A
102477,IOS,ILHEUS,BR,,,CD,5/21/2019,A
102479,SSA,SALVADOR DE BAHIA,BR,,,CD,5/21/2019,A
102156,ITJ,ITAJAI,BR,,,CD,5/21/2019,A
103891,ILH,ILHA GRANDE,BR,,,CD,5/21/2019,A
103890,IHB,ILHABELA,BR,,,CD,5/21/2019,A
103889,BUZ,BUZIOS,BR,,,CD,5/21/2019,A
103888,ADR,ANGRA DOS REIS,BR,,,CD,5/21/2019,A
100904,RIO,RIO DE JANEIRO,BR,,,CD,5/21/2019,A
100905,FOR,FORTALEZA,BR,,,CD,5/21/2019,A
100903,BEL,BELEM,BR,,,CD,5/21/2019,A
100907,SSZ,SAO PAOLO (SANTOS),BR,,,CD,5/21/2019,A
100906,REC,RECIFE,BR,,,CD,5/21/2019,A
100895,JPL,PORT LUCAYA,BS,,,CD,5/21/2019,A
100894,FPO,GRAND BAHAMA ISLAND,BS,,,CD,5/21/2019,A
100893,ELE,ELEUTHERA,BS,,,CD,5/21/2019,A
100892,NPI,GREAT STIRRUP CAY,BS,,,CD,5/21/2019,A
100896,NAS,NASSAU,BS,,,CD,5/21/2019,A
103508,BPI,HARVEST CAYE,BZ,,,CD,5/21/2019,A
100899,BZE,BELIZE CITY,BZ,,,CD,5/21/2019,A
101223,YQY,NOVA SCOTIA,CA,NS,,CD,5/21/2019,A
101544,MRL,MONTREAL CONVERSION,CA,,,CD,5/21/2019,A
100914,SJF,"ST. JOHN'S, NEW FOUNDLAND",CA,,,CD,5/21/2019,A
100915,QUE,QUEBEC CITY,CA,PQ,,CD,5/21/2019,A
100916,SJB,"SAINT JOHN, BAY OF FUNDY",CA,NB,,CD,5/21/2019,A
100918,VIC,"VICTORIA, BC, CANADA",CA,BC,,CD,5/21/2019,A
100919,MTR,MONTREAL,CA,PQ,,CD,5/21/2019,A
100917,VAN,VANCOUVER,CA,BC,,CD,5/21/2019,A
100911,CBK,CORNERBROOK,CA,NF,,CD,5/21/2019,A
100912,HAL,HALIFAX,CA,NS,,CD,5/21/2019,A
100913,PRR,"PRINCE RUPERT, BC, CANADA",CA,BC,,CD,5/21/2019,A
101576,YVR,VANCOUVER,CA,,Airport Code ,CD,5/21/2019,A
101696,SYN,"SYDNEY, CAPE BRETON ISLAND, NS",CA,NS,,CD,5/21/2019,A
101716,NNO,NANAIMO,CA,BC,,CD,5/21/2019,A
102396,LBI,LA BAIE (SAGUENAY RIVER),CA,QC,,CD,5/21/2019,A
103168,GPE,GASPESIE,CA,,,CD,5/21/2019,A
103468,BAI,BAIE COMEAU,CA,PQ,,CD,5/21/2019,A
102839,SEI,SEPT-ILES,CA,QC,,CD,5/21/2019,A
102756,CHA,"CHARLOTTETOWN, PRINCE EDWARD I",CA,,ISLAND,CD,5/21/2019,A
102859,CRL,PRINCE EDWARD ISLAND,CA,,,CD,5/21/2019,A
101553,YBL,CAMPBELL RIVER,CA,BC,,CD,5/21/2019,A
100841,RAR,RAROTONGA,CK,,,CD,5/21/2019,A
104728,SAT,SAN ANTONIO,CL,,,CD,5/21/2019,A
105109,CAP,"CRUISE CAPE HORN, CHILE",CL,,,CD,5/21/2019,A
101222,CHB,PUERTO CHACABUCO,CL,,,CD,5/21/2019,A
100921,PMC,PUERTO MONTT,CL,,,CD,5/21/2019,A
100922,PUQ,PUNTA ARENAS,CL,,,CD,5/21/2019,A
100923,SAI,SAN ANTONIO,CL,,,CD,5/21/2019,A
100924,VAP,VALPARAISO (SANTIAGO),CL,,,CD,5/21/2019,A
100925,ANF,ANTOFAGASTA,CL,,,CD,5/21/2019,A
100926,ARI,ARICA,CL,,,CD,5/21/2019,A
100927,IQQ,IQUIQUE,CL,,,CD,5/21/2019,A
100928,CQQ,COQUIMBO,CL,,,CD,5/21/2019,A
100792,PCI,CRUISE PATAGONIC CHANNEL,CL,,,CD,5/21/2019,A
100735,EAG,CRUISE BEAGLE CHANNEL,CL,,,CD,5/21/2019,A
100742,MKI,CRUISE CANAL MORALEDA,CL,,,CD,5/21/2019,A
100746,FJO,CRUISE CHILEAN FJORDS,CL,,,CD,5/21/2019,A
102036,PNT,PUERTO NATALES,CL,,,CD,5/21/2019,A
102097,PNS,PUERTO NATALES,CL,,,CD,5/21/2019,A
102136,ZAL,VALDIVIA,CL,,,CD,5/21/2019,A
102137,TAL,TALCAHUANO,CL,,,CD,5/21/2019,A
102456,CRR,PUERTO CORRAL,CL,,,CD,5/21/2019,A
102476,WCA,CASTRO,CL,,,CD,5/21/2019,A
102480,JFZ,ROBINSON CRUSOE ISLAND,CL,,,CD,5/21/2019,A
100809,CHJ,CRUISE STRAIT OF MAGELLAN,CL,,,CD,5/21/2019,A
100930,BJS,BEIJING (XINGANG),CN,,,CD,5/21/2019,A
104128,TSN,BEIJING (TIANJIN),CN,,,CD,5/21/2019,A
104609,DLC,DALIAN,CN,,,CD,5/21/2019,A
100932,SHA,SHANGHAI,CN,,,CD,5/21/2019,A
100931,SYX,SANYA,CN,,,CD,5/21/2019,A
104061,XIA,XIAMEN,CN,,,CD,5/21/2019,A
100929,HKG,HONG KONG,CN,91,,CD,5/21/2019,A
104448,SH3,SHENZEN,CN,,,CD,5/21/2019,A
